Campus,College,Program / Degree,Major/ Track / Specialization
Main Campus,College of Arts and Humanities,Bachelor of Arts in Communication,
Main Campus,College of Arts and Humanities,Bachelor of Arts in Political Science,
Main Campus,College of Arts and Humanities,Bachelor of Arts in Philippine Studies,
Main Campus,College of Arts and Humanities,Bachelor of Science in Social Work,
Main Campus,College of Arts and Humanities,Bachelor of Science in Psychology,Clinical Psychology Track
Main Campus,College of Arts and Humanities,Bachelor of Science in Psychology,Industrial Organization Track
Main Campus,College of Business and Accountancy,Bachelor of Science in Accountancy,
Main Campus,College of Business and Accountancy,Bachelor of Science in Management Accounting,
Main Campus,College of Business and Accountancy,Bachelor of Science in Business Administration,Human Resource Management
Main Campus,College of Business and Accountancy,Bachelor of Science in Business Administration,Business Economics
Main Campus,College of Business and Accountancy,Bachelor of Science in Business Administration,Financial Management
Main Campus,College of Business and Accountancy,Bachelor of Science in Business Administration,Marketing Management
Main Campus,College of Business and Accountancy,Bachelor of Science in Entrepreneurship,Track 1-Franchising and Trading
Main Campus,College of Business and Accountancy,Bachelor of Science in Entrepreneurship,Track 2-Agri-business
Main Campus,College of Business and Accountancy,Bachelor of Science in Entrepreneurship,Track 3-Innovation and Technology
Main Campus,College of Business and Accountancy,Bachelor of Science in Public Administration,
Main Campus,College of Criminal Justice Education,Bachelor of Science in Criminology,
Main Campus,College of Engineering Architecture and Technology,Bachelor of Science in Architecture,
Main Campus,College of Engineering Architecture and Technology,Bachelor of Science in Civil Engineering,
Main Campus,College of Engineering Architecture and Technology,Bachelor of Science in Electrical Engineering,
Main Campus,College of Engineering Architecture and Technology,Bachelor of Science in Mechanical Engineering,
Main Campus,College of Engineering Architecture and Technology,Bachelor of Science in Petroleum Engineering,
Main Campus,College of Hospitality Management and Tourism,Bachelor of Science in Hospitality Management,Specialized Track 1-Culinary Arts and Kitchen Management
Main Campus,College of Hospitality Management and Tourism,Bachelor of Science in Hospitality Management,Specialized Track 2-Hotel Resort and Club Management
Main Campus,College of Hospitality Management and Tourism,Bachelor of Science in Tourism Management,
Main Campus,College of Nursing and Health Sciences,Bachelor of Science in Nursing,
Main Campus,College of Nursing and Health Sciences,Bachelor of Science in Midwifery,
Main Campus,College of Nursing and Health Sciences,Diploma in Midwifery,
Main Campus,College of Sciences,Bachelor of Science in Biology,Medical Biology
Main Campus,College of Sciences,Bachelor of Science in Biology,Preparatory Medicine
Main Campus,College of Sciences,Bachelor of Science in Marine Biology,
Main Campus,College of Sciences,Bachelor of Science in Computer Science,
Main Campus,College of Sciences,Bachelor of Science in Environmental Science,
Main Campus,College of Sciences,Bachelor of Science in Information Technology,
Main Campus,College of Teacher Education,Bachelor of Elementary Education,
Main Campus,College of Teacher Education,Bachelor of Secondary Education,English
Main Campus,College of Teacher Education,Bachelor of Secondary Education,Filipino
Main Campus,College of Teacher Education,Bachelor of Secondary Education,Mathematics
Main Campus,College of Teacher Education,Bachelor of Secondary Education,Science
Main Campus,College of Teacher Education,Bachelor of Secondary Education,Social Studies
Main Campus,College of Teacher Education,Bachelor of Secondary Education,Values Education
Main Campus,College of Teacher Education,Bachelor of Physical Education,
Main Campus,PSU-SAN RAFAEL,Bachelor of Science in Entrepreneurship,
Main Campus,PSU-SAN RAFAEL,Bachelor of Science in Hospitality Management,
Main Campus,PSU-SAN RAFAEL,Bachelor of Science in Agriculture,
Main Campus,PSU-SAN RAFAEL,Bachelor of Elementary Education,
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Arts in Political Science,
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Industrial Technology,Automotive Technology
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Industrial Technology,Construction Technology
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Industrial Technology,Electronics Technology
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Industrial Technology,Marine Engineering Technology
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Science in Criminology,
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Science in Business Administration,Human Resource Management
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Science in Business Administration,Financial Management
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Science in Hospitality Management,Specialized Track 1-Culinary Arts and Kitchen Management
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Science in Hospitality Management,Specialized Track 2-Hotel Resort and Club Management
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Science in Tourism Management,
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Elementary Education,
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Secondary Education,English
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Secondary Education,Filipino
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Secondary Education,Mathematics
PSU-PCAT CUYO,PCAT Cluster,Bachelor of Technical-Vocational Teacher Education,Civil and Construction Technology
