Call No.,Author,Title,Year,Copies,Publisher
320 V235 Fil,"Valenzuela, Edwin E.",Understanding basic concepts in political science,2016,8,Mutya Publishing
320.9599 B145 Fil,"Baes, Aldrin P.",Introduction to Philippine politics & governance (with basic constitutional provisions),2024,3,Wiseman's Books Trading
320.9914 P289 Fil,"Pawilen, R.A.",Philippine politics and governance,2017,5,Rex Book Store
351 B489 Fil,"Bihasa, Carmelo Rico S.",Introduction to public administration,2022,3,C&E Publishing
338.9 C112 Fil,"Cabudol, Emerson G.",Economic development,2022,7,Mindshapers
330.122 P75 Fil,"Poblador, Niceto S.",Strategy in the new age of capitalism : collaborative and inclusive approaches to value creation,2022,1,UP Press
330.122 L61,"Li, Kui Wai",Redefining capitalism in global economic development,2017,1,Academic Press
320.6 M764 Fil,"Montemayor, Jose C. Jr.",Policy (definition and its concept),2022,1,Mutya Publishing
321.02 M764 Fil,"Montemayor, Jose C., Jr.","Federalism : national and international perspective, are we ready?",2020,4,Mutya Publishing
301 L297,"Lanuza, Gerry M.","Understanding culture, society, and politics",2016,5,Vibal Group
